run,time,rmse_c0_imputation,rmse_c0_forecast,rmse_c0_overall,rmse_c1_imputation,rmse_c1_forecast,rmse_c1_overall,rmse_c2_imputation,rmse_c2_forecast,rmse_c2_overall
0,94.74718928337097,0.05244529869798507,0.05931616867328375,0.05597555276368572,0.03804617544180301,0.03698067424173652,0.037518867061273706,0.06629554355534915,0.10702972675728811,0.08896197759513426
1,93.70570945739746,0.08682858327067947,0.22692196572018902,0.17160397996541066,0.05561836480356796,0.16449762510922386,0.12263402979545425,0.09124730885231502,0.4396207059660525,0.31703020242568936
2,92.57211446762085,0.07322034218341583,0.1191174767004691,0.0987995216874605,0.0327063827739996,0.07913496346993917,0.06048087914631382,0.06694131671364331,0.16892828838130744,0.12834127717078014
3,89.66583490371704,0.06571205599209491,0.04758508280400358,0.05739691774834345,0.049820137614358974,0.05335077381034092,0.05161015604984389,0.06108216650121719,0.03875846316448436,0.05118687758000426
4,91.59007740020752,0.10429398395461215,0.3023775150579582,0.22589648821405584,0.07937807352786551,0.22388396536996322,0.1677623136850531,0.162917646984685,0.5949307825205453,0.43558286037851435
5,94.26021003723145,0.08336868749140837,0.3953772634572326,0.2853140222240421,0.04414621270044388,0.08637145317839219,0.06852644511441774,0.05734397355908071,0.14413494031256022,0.10956444927459752
6,93.7246618270874,0.07536214563621603,0.1385263935293814,0.11141572405427902,0.05281541457766392,0.06451584306148164,0.05893846497181551,0.0863041176667543,0.12243482991574083,0.10586593722279597
8,91.63682723045349,0.0770357488986618,0.13090361979885196,0.10732047666144534,0.058267640603030975,0.09856966432720199,0.08090551746305844,0.1542146123653367,0.2526002579877195,0.20912239158860282
10,92.01444602012634,0.05174890822374269,0.1334040605865468,0.10106308462664297,0.056135235204565155,0.07948015672726623,0.06876916908200185,0.07146334352778944,0.1681808659945552,0.12907286350824596
11,91.90395140647888,0.07605706140425017,0.16676274875207608,0.12947176685363826,0.04226825035184874,0.09644717554605173,0.07438161746505913,0.10750809517141778,0.28235257513876016,0.21338769321714485
