metric,mean,std
time,85.23426301956177,0.6556362436133858
rmse_c0_imputation,1.776668114527173,1.7249185950551114
rmse_c0_forecast,1.9298209337622054,1.87288102645038
rmse_c0_overall,1.8563561830223343,1.798347851528029
rmse_c1_imputation,1.4406012313119099,1.4535966877148365
rmse_c1_forecast,1.5687442734852768,1.62591800029928
rmse_c1_overall,1.5076319521168338,1.540125188718026
rmse_c2_imputation,2.398201749771856,1.8784110081375234
rmse_c2_forecast,2.6196689753348714,2.0355850828507167
rmse_c2_overall,2.512398090362459,1.9565615826225355
