run,time,rmse_c0_imputation,rmse_c0_forecast,rmse_c0_overall,rmse_c1_imputation,rmse_c1_forecast,rmse_c1_overall
0,1493.0916316509247,0.7958312805489933,1.2503529800428366,1.0473377430529474,0.29567354473272917,0.5265791060308338,0.426683095134248
1,1465.6331374645233,1.3376365285634564,1.471937890275659,1.4061822701089586,0.5736066425292334,0.6499292495730977,0.6128383537412896
2,1475.1272847652435,1.1787748276106074,1.4567990350534696,1.324668034277543,0.4965444102818064,0.642031146308529,0.5736916889524185
3,1479.7775211334229,0.9166160550905701,1.3469718456830433,1.1514085756238461,0.35482257118966826,0.5795220618237081,0.48015145392134706
4,1489.4084222316742,1.0225971100541753,1.4642064921897977,1.2621775490275309,0.39489070470342513,0.6198985562825532,0.5193753763112972
5,1284.8056292533875,1.4997307767910308,1.4632207063469922,1.481645072226195,0.6452760390577543,0.7055168681263935,0.6759740082688029
6,1409.4431817531586,1.215425845691494,1.5071283077836926,1.3686163916053313,0.5374356815366114,0.6492315688085248,0.5957874858634716
7,1460.4515779018402,1.1531690337267186,1.4503334295391193,1.3097434282642577,0.4853853165707627,0.6378361584771672,0.5665246794867492
8,1521.2841515541077,0.48838787448695375,0.7061020083563531,0.6067506138045804,0.24942829310331954,0.4706524765432839,0.37631899210420544
9,1420.4404757022858,0.9685149857384876,1.3853071218087274,1.1945796027574362,0.39553484520663396,0.6062688291309836,0.5115427795838128
10,1424.6648933887482,0.9966207057162964,1.392888016351136,1.2104627342791165,0.4230388913264103,0.613814366106816,0.5268366734615114
11,1524.4772424697876,1.1121920793468763,1.5961219039784778,1.3748624262151572,0.5015063302096486,0.7190828609559234,0.6195810820318772
12,1415.0913712978363,1.0426431602629727,1.4647961765460225,1.270715353409465,0.41312912693805004,0.6206390819053175,0.52687772189024
13,1474.9078617095947,1.1564999611101943,1.557827605115318,1.3712996465585912,0.5194426788603591,0.6873643219156343,0.6089577581094155
