run,time,rmse_c0_imputation,rmse_c0_forecast,rmse_c0_overall,rmse_c1_imputation,rmse_c1_forecast,rmse_c1_overall,rmse_c2_imputation,rmse_c2_forecast,rmse_c2_overall
0,1596.3067882061005,0.6474286894533955,0.6840328041623209,0.6659252797922939,0.5321695192456832,0.5412964767896178,0.5367381816393069,1.456041195867214,1.4889737106404222,1.4725482225791864
1,1510.7679975032806,0.5739727721646912,0.6246319792079055,0.5997585733510175,0.4900766509671306,0.49843991464017257,0.49426294506852936,1.2552490838587882,1.314289701568576,1.2850165512964093
2,1936.4670279026031,0.5893557464339506,0.6018787041317787,0.5956306311429245,0.4961802099549074,0.49936798756716705,0.4977716852113191,1.2554569119989918,1.2581690108900867,1.2568094685473474
3,1578.9474046230316,0.6369504707235131,0.6165331146660855,0.6268567268714947,0.5070752597977269,0.4974729339150966,0.5023119991193344,1.3738392214509996,1.2923018543013793,1.3338207369860027
4,2119.1266255378723,0.621941731432872,0.5996862046457068,0.610949981207991,0.49429745903384775,0.49394760016339523,0.4941231055140882,1.248808855844607,1.261776619945358,1.255289284268149
5,1768.1826357841492,0.6526418339154096,0.6647844258268453,0.6587221953914325,0.5153039588246829,0.4968925237365866,0.5062106311451808,1.2878689529182867,1.2897555366659772,1.2888096513869451
6,1507.1059069633484,0.6112418259694916,0.6124740052981626,0.6118563065246082,0.4918842008943236,0.4941548979369208,0.49301731976618784,1.2506733676132311,1.272407364372476,1.26155331689709
7,1625.2732453346252,0.6041147077463067,0.6189407841601133,0.6115495830101855,0.6064193107007539,0.6391257327142993,0.6229362628165644,1.4249404418712606,1.5117054637938385,1.4688285993349441
8,1664.0172193050385,0.7309451366064403,0.8004693982038302,0.7663877499342795,0.6468042563161674,0.6954345685440665,0.6714840433321558,1.2769162666046945,1.2983100887288328,1.2876242864709802
9,1801.0852930545807,0.5804288069624269,0.6181482265825446,0.5995264756496952,0.513921931984029,0.5085160373432179,0.5112345504149355,1.2590750011584417,1.294253800902242,1.2767307737204012
10,1393.2336809635162,0.5898103182984937,0.6152583778183232,0.6026290518556785,0.4890290884584909,0.49747616013045104,0.4932575491080805,1.2499209528317272,1.2819700655930117,1.2659970082263492
11,1902.2106738090515,0.6442583166136375,0.5993141057973332,0.6222621201654399,0.4888383824555196,0.511155340453528,0.5000866042190372,1.267429514448712,1.316698587544973,1.2922221396711597
12,1526.506591796875,0.5816400308339764,0.5994208235351729,0.5905696521062869,0.5081124223912974,0.49420597581819325,0.5012290908479328,1.2957041067251047,1.293882854607395,1.294796637724587
13,1280.3969795703888,0.7918146475285166,0.6058066830890633,0.7052595425273589,0.598440952621368,0.4978012673476328,0.5505821322048484,1.200506422456329,1.2329795463908395,1.2168007344970444
14,1874.4510736465454,0.6318671040071686,0.6187101251232712,0.6253437111129653,0.49958377004761695,0.49463302386060776,0.497122271317667,1.2686609176382453,1.2647675637102922,1.2667218008852197
